Name,City
Wellington Girls' College,Wellington
Wellington High School and Com Ed Centre,Wellington
Wellington East Girls' College,Wellington
Wellington College,Wellington
St Patrick's College (Kilbirnie),Wellington
Rongotai College,Wellington
Queen Margaret College,Wellington
TKKM o Hoani Waititi,Auckland
Samuel Marsden Collegiate School,Wellington
Scots College,Wellington
Te Kura Amorangi o Whakawatea,Hamilton
Otamatea Christian School,Maungaturoto
St Catherines College (Kilbirnie),Wellington
St Mary's College (Wellington),Wellington
Queen Charlotte College,Picton
Marlborough Boys' College,Blenheim
Marlborough Girls' College,Blenheim
Collingwood Area School,Collingwood
Rai Valley Area School,Rai Valley
Golden Bay High School,Takaka
Nayland College,Nelson
Nelson College,Nelson
Nelson College For Girls,Nelson
Waimea College,Richmond
Tapawera Area School,Nelson
Motueka High School,Motueka
Murchison Area School,Murchison
Karamea Area School,Westport
Buller High School,Westport
Greymouth High School,Greymouth
John Paul II High School,Greymouth
Westland High School,Hokitika
South Westland Area School,Harihari
Kaikoura High School,Kaikoura
Amuri Area School,Culverden
Cheviot Area School,Cheviot
Oxford Area School,Oxford
Hurunui College,Hawarden
Rangiora High School,Rangiora
Kaiapoi High School,Kaiapoi
St Bedes College,Christchurch
Papanui High School,Christchurch
Christchurch Adventist School,Christchurch
St Andrew's College (Christchurch),Christchurch
Burnside High School,Christchurch
Mairehau High School,Christchurch
Shirley Boys' High School,Christchurch
Avonside Girls' High School,Christchurch
Rangi Ruru Girls' School,Christchurch
Villa Maria College,Christchurch
Christchurch Boys' High School,Christchurch
Christchurch Girls' High School | Te Kura o Hine Waiora,Christchurch
Mangakino Area School,Mangakino
Christ's College,Christchurch
St Thomas of Canterbury College,Christchurch
St Margaret's College,Christchurch
Riccarton High School,Christchurch
Middleton Grange School,Christchurch
Hagley Community College,Christchurch
Linwood College,Christchurch
Hornby High School,Christchurch
Hillmorton High School,Christchurch
Cashmere High School,Christchurch
Hillview Christian School,Christchurch
Marian College,Christchurch
Westminster Christian School,Auckland
Darfield High School,Darfield
Lincoln High School,Lincoln
Mount Hutt College,Methven
Ellesmere College,Leeston
Akaroa Area School,Akaroa
Ashburton College,Ashburton
Geraldine High School,Geraldine
Mackenzie College,Fairlie
Opihi College,Temuka
Craighead Diocesan School,Timaru
Roncalli College,Timaru
Mountainview High School,Timaru
Timaru Boys' High School,Timaru
Timaru Girls' High School,Timaru
Waimate High School,Waimate
Waitaki Valley School,Kurow
Waitaki Boys' High School,Oamaru
Waitaki Girls' High School,Oamaru
The Cathedral Grammar School,Christchurch
St Kevins College (Oamaru),Oamaru
Maniototo Area School,Ranfurly
East Otago High School,Palmerston
Dunstan High School,Alexandra
Cromwell College,Cromwell
Wakatipu High School,Queenstown
Roxburgh Area School,Roxburgh
Logan Park High School,Dunedin
Otago Boys' High School,Dunedin
Otago Girls' High School,Dunedin
St Hildas Collegiate,Dunedin
Kaikorai Valley College,Dunedin
Bayfield High School,Dunedin
Kings High School (Dunedin),Dunedin
Queens High School,Dunedin
Columba College,Dunedin
John McGlashan College,Dunedin
Lawrence Area School,Lawrence
Blue Mountain College,Tapanui
Tokomairiro High School,Milton
South Otago High School,Balclutha
The Catlins Area School,Owaka
Northern Southland College,Lumsden
Gore High School,Gore
St Peter's College (Gore),Gore
Takitimu Primary School,Nightcaps
Central Southland College,Winton
Fiordland College,Te Anau
Menzies College,Wyndham
Waiau Area School,Tuatapere
Southland Boys' High School,Invercargill
Southland Girls' High School,Invercargill
Verdon College,Invercargill
Aparima College,Riverton
Rangiora New Life School,Rangiora
Rudolf Steiner School (Chch),Christchurch
Richmond View School,Blenheim
Faith City School,Whanganui
Michael Park School,Auckland
Odyssey House School (Auckland),Auckland
Whangamata Area School,Whangamata
Excellere College,Whangarei
Kingsway School,Red Beach
Hukarere College,Eskdale
Springbank School,Kerikeri
Totara College of Accelerated Learning,Dannevirke
Pinehurst School,Auckland
ACG Strathallan,Karaka
Hastings Christian School,Hastings
Hamilton Christian School,Hamilton
Southern Cross Campus,Auckland
Kadimah School,Auckland
St Dominic's College,Whanganui
Pukekohe Christian School,Pukekohe
Immanuel Christian School,Auckland
Carey College,Auckland
Ambury Park Centre,Auckland
TKK Motuhake o Tawhiuau,Murupara
Mana Tamariki,Palmerston North
Manukau Christian School,Auckland
Zayed College for Girls,Auckland
Westmount School,Auckland
Auckland International College,Auckland
The Bridge Academy,Auckland
Tongariro School,Turangi
Wainuiomata High School,Lower Hutt
City Impact Church School,Auckland
Aquinas College,Tauranga
Wentworth College,Whangaparaoa
Mt Hobson Middle School,Auckland
Nga Taiatea Wharekura,Hamilton
Sancta Maria College,Manukau
Putaruru College,Putaruru
Taieri College,Mosgiel
Reefton Area School,Reefton
Te Kura o Hirangi,Turangi
Te Aho o Te Kura Pounamu,Wellington
Kelston Deaf Education Centre,Auckland
Drury Christian School,Drury
Kimi Ora School,Lower Hutt
Kingslea School,Christchurch
Van Asch Deaf Education Centre,Christchurch
Halswell Residential College,Christchurch
Carlson School (Cerebral Palsy),Auckland
Salisbury School (Nelson),Richmond
Twizel Area School,Twizel
Ponatahi Christian School,Carterton
Waiheke High School,Waiheke Island
Catholic Cathedral College,Christchurch
John Paul College,Rotorua
Mt Aspiring College,Wanaka
Kavanagh College,Dunedin
Waikato Waldorf School ( Rudolf Steiner),Hamilton
Al-Madinah School,Auckland
Te Kura Toitu o Te Whaiti-nui-a-Toi,Te Whaiti
Samuel Marsden Collegiate School -Whitby,Porirua
MindAlive,Auckland
Aurora College,Invercargill
Taihape Area School,Taihape
Te Waha O Rerekohu Area School,Te Araroa
Coastal Taranaki School,Okato
James Hargest College,Invercargill
Mission Heights Junior College,Auckland
Tangaroa College Teen Parent Unit,Auckland
Holy Family School (Wanaka),Wanaka
TKKM o Te Kura Kokiri,Tauranga
Te Wainui a Rua,Ranana
Albany Senior High School,Auckland
Ormiston Senior College,Auckland
Stonefields School,Auckland
Maraekakaho School,Maraekakaho
Te Wharekura o Te Kaokaoroa o Patetere,Putaruru
Mission Heights Primary School,Auckland
ACG Sunderland,Waitakere
Te Totara Primary School,Hamilton
West Rolleston Primary School,Rolleston
Shotover Primary School,Queenstown
Hingaia Peninsula School,Auckland
Te Kura o Nga Ruahine Rangi,Mangatoki
Kauri Flats School,Auckland
TKKM o Ngaringaomatariki,Wellsford
Kumeroa School,Kumeroa
KingsGate School,Auckland
Golden Grove School,Auckland
Wentworth Primary,Whangaparaoa
Big Rock Primary School,Brighton
Ashburton Christian School,Ashburton
Seven Oaks School,Christchurch
Henderson - Teen Parent Unit - He Wero o nga Wahine,Auckland
Amesbury School,Wellington
Rototuna Senior High School,Hamilton
Murihiku Young Parents Learning Centre,Invercargill
City Impact Church School (Secondary),Auckland
Sancta Maria Catholic Primary School,Manukau
Huanui College,Whangarei
Silverstream Christian School,Upper Hutt
Te Karaka Area School,Gisborne
Chapman College,Rotorua
TKKM o Tuia te Matangi,Nelson
Te Kura Maori o Nga Tapuwae,Auckland
Kia Aroha College,Auckland
Tai Wananga,Hamilton
Kingsview School,Queenstown
Pa Harakeke Teen Parent Unit,Tokoroa
Te Wharekura o Nga Purapura o Te Aroha,Te Awamutu
Bathgate Park School,Dunedin
Carisbrook School,Dunedin
Te Whata Tau o Putauaki,Kawerau
Rolleston College,Rolleston
Kawerau Putauaki School,Kawerau
Murupara Area School,Murupara
Kahurangi School,Wellington
Tarawera High School,Kawerau
Nelson Teen Parent Unit,Nelson
Waikato Montessori Education Centre,Hamilton
Levin Teen Parent Unit,Levin
Eden Christian Academy,Tuakau
Ao Tawhiti Unlimited Discovery,Christchurch
Te Waka Unua School,Christchurch
Waitakiri Primary School,Christchurch
Lyttelton Primary School,Lyttelton
Ormiston Primary School,Auckland
South Auckland Middle School,Auckland
Te Kura Hourua o Whangarei Terenga Paraoa,Whangarei
The Rise Up Academy,Auckland
Vanguard Military School,Auckland
Seven Oaks Secondary School,Christchurch
Rawhiti School,Christchurch
Haeata Community Campus,Christchurch
Te Tipu Whenua o Pa Harakeke,Hastings
Te Pa o Rakaihautu,Christchurch
ACG Tauranga,Tauranga
Rototuna Junior High School,Hamilton
Ormiston Junior College,Auckland
Rolleston Christian School,Rolleston
Middle School West Auckland,Auckland
Pacific Advance Senior School,Auckland
Te Kapehu Whetu - Teina,Whangarei
Te Kura Maori o Waatea,Auckland
Whakatane Teen Parent Unit,Whakatane
