Name,City
St Joseph's School (Orakei),Auckland
St Joseph's School (Otahuhu),Auckland
St Joseph's School (Pukekohe),Pukekohe
St Joseph's Catholic School (Takapuna),Auckland
St Leonards Road School,Auckland
St Leo's Catholic School (Devonport),Auckland
St Mark's School (Pakuranga),Auckland
St Mary's Catholic School (Papakura),Papakura
St Mary's School (Avondale),Auckland
St Mary's School (Ellerslie),Auckland
St Mary's School (Northcote),Auckland
St Michael's Catholic School (Remuera),Auckland
St Patrick's School (Panmure),Auckland
St Pius X Catholic School (Glen Innes),Auckland
St Therese School (Three Kings),Auckland
St Thomas School (Auckland),Auckland
Stanhope Road School,Auckland
Stanley Bay School,Auckland
Stanmore Bay School,Whangaparaoa
Our Lady Star of the Sea School (Howick),Auckland
Sunnyhills School,Auckland
Sunnybrae Normal School,Auckland
Sunnydene Special School,Auckland
Sunnynook School,Auckland
Sunnyvale School,Auckland
Sutton Park School,Auckland
Swanson School,Swanson
Sylvia Park School,Auckland
Takanini School,Auckland
Takapuna Normal Intermediate,Auckland
Takapuna School,Auckland
Tamaki School,Auckland
Target Road School,North Shore
Taupaki School,Auckland
Te Atatu Intermediate,Auckland
Peninsula Primary School,Auckland
Te Hihi School,Papakura
Te Kohanga School,Tuakau
Te Papapa School,Auckland
Three Kings School,Auckland
Tirimoana School,Auckland
Titirangi School,Auckland
Torbay School,Auckland
Tuakau School,Tuakau
Valley School,Pukekohe
Vauxhall School,Auckland
Verran Primary School,Auckland
Victoria Avenue School,Auckland
View Road School,Waiuku
Viscount School,Auckland
Waiau Pa School,Pukekohe
Waikowhai Intermediate,Auckland
Waikowhai School,Auckland
Waimauku School,Waimauku
Wainui School,Wainui
Waioneke School,Helensville
Waipipi School,Waiuku
Wairau Intermediate,Auckland
Wairau Valley Special School,Auckland
Waitakere School,Auckland
Waitoki School,Kaukapakapa
Waiuku Primary School,Waiuku
Wakaaranga School,Auckland
Warkworth School,Warkworth
Waterlea Public School,Auckland
Waterview School,Auckland
Wesley Intermediate,Auckland
Wesley School,Auckland
West Harbour School,Auckland
Western Heights School (Auckland),Auckland
Westmere School (Auckland),Auckland
Waimahia Intermediate School,Auckland
Weymouth School,Auckland
Whangaparaoa School (Auckland),Whangaparaoa
Whenuapai School,Auckland
Willow Park School,Auckland
Wilson School,Auckland
Windy Ridge School,Auckland
Wiri Central School,Auckland
Woodhill School,Helensville
Woodlands Park School,Auckland
Wymondley Road School,Auckland
Yendarra School,Auckland
Chapel Downs School,Auckland
Nova Montessori School,Christchurch
TKKM o Te Raki Paewhenua,Auckland
St Anthony's School (Wanganui),Whanganui
Gloriavale Christian Community School,Greymouth
St Francis Xavier Catholic School (Whangarei),Whangarei
TKKM o Toku Mapihi Maurea,Hamilton
Marina View School,Auckland
Kaitoke School (Claris),Great Barrier Island
Riverview School,Kerikeri
Titirangi Rudolf Steiner School,Auckland
ACG Senior College,Auckland
ACG New Zealand International College,Auckland
Bishop Edward Gaines Catholic School,Tokoroa
St Matthew's Primary School (Hastings),Hastings
Timaru Christian School,Timaru
Te Ra School,Kapiti Coast
TKKM o Ngati Kahungunu o Te Wairoa,Wairoa
TKKM o Ngati Rangi,Ohakune
TKKM o Te Whanau Tahi,Christchurch
Te Kura Akonga O Manurewa,Auckland
Ascot Community School,Invercargill
St Paul's School (Richmond),Nelson
Central Regional Health School,Wellington
Southern Health School,Christchurch
St Mary MacKillop Catholic School,Auckland
Te Kura Maori o Porirua,Porirua
St Thomas More Catholic School,Mount Maunganui
Amana Christian School,Mosgiel
St Paul's School (Massey),Auckland
Te Kura o Torere,Opotiki
Wainuiomata Intermediate,Lower Hutt
Konini Primary School (Wainuiomata),Lower Hutt
Manaia View School,Whangarei
Drummond Primary School,Drummond
TKKM o Wairarapa,Masterton
Motueka Rudolf Steiner School,Motueka
Destiny School,Auckland
Silverstream (South) Primary School,Mosgiel
Putaruru Primary School,Putaruru
Lakeview School,Masterton
Masterton Primary School,Masterton
Douglas Park School,Masterton
Huia Range School,Dannevirke
Stella Maris Primary School,Silverdale
Te Kura o Waikare,Kawakawa
Whangaruru School,Hikurangi
Wairoa Primary School,Wairoa
Tiaho Primary School,Wairoa
TKKM o Te Ara Whanui,Lower Hutt
TKKM o Nga Uri A Maui,Gisborne
TKKM o Te Waiu o Ngati Porou,Ruatoria
TKKM o Te Wananga Whare Tapere o Takitimu,Hastings
Ruakituri School,Wairoa
Te Mahia School,Nuhaka
Mohaka School,Mohaka
Te Kura o Waikaremoana,Tuai
Rahotu School,Rahotu
Aberdeen School,Hamilton
Allandale School,Whakatane
Amisfield School,Tokoroa
Aorangi School (Rotorua),Rotorua
Apanui School,Whakatane
Arataki School,Mount Maunganui
Aria School,Aria
Arohena School,Te Awamutu
Ashbrook School,Opotiki
Awakeri School,Whakatane
Bankwood School,Hamilton
Bellevue School (Tauranga),Tauranga
Berkley Normal Middle School,Hamilton
TKKM o Bernard Fergusson,Ngaruawahia
Bethlehem School,Tauranga
Broadlands School,Reporoa
Brookfield School,Tauranga
Cambridge East School,Cambridge
Cambridge Middle School,Cambridge
Cambridge School,Cambridge
Cargill Open Plan School,Tokoroa
Centennial Park School,Te Kuiti
Colville School,Colville
Coroglen School,Whitianga
David Henry School,Tokoroa
David Street School,Morrinsville
Deanwell School,Hamilton
Edgecumbe School,Edgecumbe
Elstow-Waihou Combined School,Te Aroha
Fairfield Intermediate,Hamilton
Fairfield Primary School,Hamilton
Fairhaven School,Te Puke
TKKM o Te Ara Rima,Hamilton
Firth School,Matamata
Forest Lake School,Hamilton
Frankton School,Hamilton
Galatea School,Murupara
Glen Massey School,Ngaruawahia
Glenholme School,Rotorua
Glenview School (Hamilton),Hamilton
Goldfields School (Paeroa),Paeroa
Goodwood School,Cambridge
Gordonton School,Hamilton
Greenpark School (Tauranga),Tauranga
Greerton Village School,Tauranga
Hamilton East School,Hamilton
Hamilton North School,Hamilton
Hamilton West School,Hamilton
Hautapu School,Cambridge
Hauturu School,Oparau
Hikuai School,Hikuai
Hikutaia School,Paeroa
Hillcrest Normal School,Hamilton
Hilltop School,Taupo
Hinuera School,Hinuera
Horahora School (Cambridge),Cambridge
Horohoro School,Rotorua
Horotiu School,Hamilton
Horsham Downs School,Horsham Downs
TKKM o Huiarau,Ruatahuna
Hukanui School,Hamilton
St Patrick's Catholic School (Taupo),Taupo
Huntly School (Waikato),Huntly
Huntly West School,Huntly
Insoll Avenue School,Hamilton
Rangitaiki School,Rangitaiki
James Street School,Whakatane
Kaharoa School,Rotorua
Kaihere School,Morrinsville
Kaimai School,Tauranga
Kaingaroa Forest School,Kaingaroa Forest
Kaipaki School,Ohaupo
Kaitao Intermediate,Rotorua
Tauranga Special School,Tauranga
Karangahake School,Karangahake
Karapiro School,Cambridge
Katikati Primary School,Katikati
Kawaha Point School,Rotorua
Kawerau South School,Kawerau
Kawhia School,Kawhia
Kea Street Specialist School,Rotorua
TKKM o Harataunga,Kennedy Bay
Kerepehi School,Kerepehi
Kihikihi School,Kihikihi
Kimihia School,Huntly
Kinohaku School,Taharoa
Kio Kio School,Otorohanga
Kiwitahi School,Kiwitahi
Knighton Normal School,Hamilton
Kopuarahi School,Thames
Korakonui School,Te Awamutu
Koromatua School,Hamilton
Kuratau School,Turangi
Kutarere School,Opotiki
Lake Rerewhakaaitu School,Rotorua
Lake Rotoma School,Lake Rotoma
Leamington School,Cambridge
Lichfield School,Putaruru
Lynmore Primary School,Rotorua
Maeroa Intermediate,Hamilton
Maihiihi School,Maihiihi
Maketu School,Maketu
Malfroy School,Rotorua
Mamaku School,Mamaku
Te Wharekura o Manaia,Coromandel
Manawaru School,Te Aroha
Mapiu School,Te Kuiti
Te Kura Mana Maori Maraenui,Opotiki
Marotiri School,Mangakino
Te Kura Mana Maori o Matahi,Matahi
Te Kura o Te Moutere O Matakana,Tauranga
Matamata Intermediate,Matamata
Matamata Primary School,Matamata
Matangi School,Matangi
Te Kura o Matapihi,Tauranga
Matata School,Matata
Matatoki School,Thames
Matua School,Tauranga
Maungatapu School,Tauranga
Melville Intermediate,Hamilton
Melville Primary School,Hamilton
Merivale School,Tauranga
Mihi School,Reporoa
Miller Avenue School,Paeroa
Moanataiari School,Thames
Mokoia Intermediate,Rotorua
Morrinsville Intermediate,Morrinsville
Morrinsville School,Morrinsville
Motumaoho School,Morrinsville
Mountview School,Taupo
Mt Maunganui Intermediate,Mount Maunganui
Mt Maunganui School,Mount Maunganui
Nawton School,Hamilton
Netherton School,Paeroa
Newstead Model School,Newstead
Ngahinapouri School,Ngahinapouri
Ngakonui Valley School,Taumarunui
Ngakuru School,Rotorua
Te Kura o Ngapuke,Taumarunui
Ngaruawahia School,Ngaruawahia
Ngatea School,Ngatea
Ngati Haua School,Cambridge
Ngongotaha School,Rotorua
Ngutunui School,Pirongia
Nukuhou North School,Whakatane
Ohaupo School,Ohaupo
Ohinewai School,Huntly
Ohope Beach School,Ohope Beach
Kuranui Primary School,Tirau
Omanu School,Mount Maunganui
Omarumutu School,Opotiki
Omokoroa Point School,Omokoroa
Omokoroa School,Whakamarama
Te Wharekura o Maniapoto,Te Kuiti
Opotiki School,Opotiki
Opoutere School,Whangamata
Orini Combined School,Taupiri
Oropi School,Tauranga
Otakiri School,Whakatane
Otamarakau School,Te Puke
TKKM o Otepou,Tauranga
Otewa School,Otorohanga
Otonga Road School,Rotorua
Otorohanga School,Otorohanga
Otorohanga South School,Otorohanga
Otumoetai Intermediate,Tauranga
Otumoetai Primary School,Tauranga
St Mary's Catholic School (Otorohanga),Otorohanga
Owhata School,Rotorua
Paengaroa School,Paengaroa
Paeroa Central School,Paeroa
Pahoia School,Tauranga
Papamoa Primary School,Papamoa
Parawai School,Thames
Te Kura o Te Paroa,Whakatane
Paterangi School,Ohaupo
Patricia Avenue School,Hamilton
Peachgrove Intermediate,Hamilton
Pekerau School,Te Awamutu
Pillans Point School,Tauranga
Piopio Primary School,Piopio
Piripiri School,Te Kuiti
Pirongia School,Pirongia
Pokuru School,Pokuru
Pongakawa School,Te Puke
Puahue School,Te Awamutu
Pukeatua School,Pukeatua
Pukehina School,Pukehina
Pukemiro School,Huntly
Pukenui School (Te Kuiti),Te Kuiti
Puketaha School,Hamilton
Pukete School,Hamilton
Puriri School,Thames
Te Puru School,Te Puru
Pyes Pa Road School,Pyes Pa
Te Wharekura o Rakaumangamanga,Huntly
Te Kura o Rangiriri,Rangiriri
Rangitoto School,Rangitoto
Rangiuru School,Te Puke
Reporoa School,Reporoa
Rhode Street School,Hamilton
Roto-O-Rangi School,Cambridge
TKKM o Rotoiti,Rotorua
Rotokauri School,Hamilton
Rotokawa School,Rotorua
Rotorua Intermediate,Rotorua
Rotorua School,Rotorua
Ficino School,Auckland
Ruawaro Combined School,Huntly
Rukuhia School,Ohaupo
Selwyn School,Rotorua
Silverdale Normal School,Hamilton
Springdale School,Waitoa
Hamilton Junior High School,Hamilton
St Anthony's Catholic School (Huntly),Huntly
St Columba's Catholic School (Frankton),Hamilton
St Francis School (Thames),Thames
St Joseph's Catholic School (Fairfield),Hamilton
St Joseph's Catholic School (Matamata),Matamata
St Joseph's Catholic School (Matata),Matata
St Joseph's Catholic Sch (Morrinsville),Morrinsville
St Joseph's Catholic School (Opotiki),Opotiki
St Joseph's Catholic School (Paeroa),Paeroa
St Joseph's Catholic School (Te Aroha),Te Aroha
St Joseph's Catholic School (Te Kuiti),Te Kuiti
St Joseph's Catholic School (Waihi),Waihi
St Joseph's Catholic School (Whakatane),Whakatane
St Mary's Catholic School (Putaruru),Putaruru
St Mary's Catholic School (Rotorua),Rotorua
St Mary's Catholic School (Tauranga),Tauranga
St Michael's Catholic School (Rotorua),Rotorua
St Patrick's Catholic Sch (Taumarunui),Taumarunui
St Patrick's Catholic Sch (Te Awamutu),Te Awamutu
St Paul's Catholic School (Ngaruawahia),Ngaruawahia
St Peter Chanel Catholic Sch (Te Rapa),Hamilton
St Peter's Catholic School (Cambridge),Cambridge
St Pius X Catholic School (Melville),Hamilton
Stanley Avenue School,Te Aroha
Strathmore School,Tokoroa
Sunset Primary School,Rotorua
Te Kura o Tahaaroa,Te Kuiti
Tahuna School,Tahuna
Tainui Full Primary School,Tokoroa
Tairua School,Tairua
Tamahere Model Country School,Hamilton
Taneatua School,Taneatua
Tapu School,Thames
Tarrangower School,Taumarunui
Tatuanui School,Tatuanui
Tauhara School,Taupo
Tauhei Combined School,Tauhei
Taumarunui Primary School,Taumarunui
Taupiri School,Taupiri
Taupo Intermediate,Taupo
Taupo School,Taupo
Tauranga Intermediate,Tauranga
Tauranga Primary School,Tauranga
Gate Pa School,Tauranga
Tauriko School,Tauranga
Tauwhare School,Hamilton
Tawera Bilingual School,Whakatane
Te Akau School,Te Akau
Te Aroha Primary School,Te Aroha
Te Awamutu Intermediate,Te Awamutu
Te Awamutu Primary School,Te Awamutu
Te Kauwhata Primary School,Te Kauwhata
Te Kowhai School,Te Kowhai
Te Kuiti Primary School,Te Kuiti
Te Mahoe School,Whakatane
Te Mata School (Raglan),Raglan
TKKM o Te Matai,Te Puke
Te Miro School,Cambridge
Te Pahu School,Hamilton
Te Poi School,Matamata
Te Puke Intermediate,Te Puke
Te Puke Primary School,Te Puke
Te Puna School,Te Puna
Te Ranga School,Te Puke
Te Rapa School,Hamilton
Te Rerenga School,Te Rerenga
Te Kura o Te Teko,Te Teko
Te Uku School,Te Uku
Te Waotu School,Putaruru
Thames South School,Thames
Thornton School,Whakatane
Tirau Primary School,Tirau
Tirohanga School,Atiamuri
Tirohia School,Tirohia
Tokoroa Central School,Tokoroa
Tokoroa Intermediate,Tokoroa
Tokoroa North School,Tokoroa
Turaki School,Taumarunui
Turua Primary School,Thames
Upper Atiamuri School,Atiamuri
Vardon School,Hamilton
Waerenga School,Te Kauwhata
Te Kura o Waharoa,Waharoa
Waihi Beach School,Waihi Beach
Waihi East School,Waihi
Waihi Central School,Waihi
Waikaretu School,Tuakau
Waikino School,Waikino
Waikite Valley School,Rotorua
Waimana School,Waimana
Waimata School,Waihi
Waingaro School,Ngaruawahia
TKKM o Waioweka,Opotiki
Te Kura Maori-a-Rohe o Waiohau,Whakatane
Waiotahe Valley School,Opotiki
Waipa School,Ngaruawahia
Waipahihi School,Taupo
Wairakei School,Taupo
Te Kura o Waitahanui,Taupo
Waitakaruru School,Waitakaruru
Waitetuna School,Raglan
Waitomo Caves School,Waitomo Caves
Walton School,Walton
Wairere School,Waharoa
Welcome Bay School,Tauranga
Westbrook School,Rotorua
Western Heights Primary School (Rotorua),Rotorua
Whakamarama School,Whakamarama
Whakamaru School,Mangakino
Whakarewarewa School,Rotorua
Whakatane Intermediate,Whakatane
Whangamarino School,Okere Falls
Te Kura Mana Maori o Whangaparaoa,Opotiki
ACG Parnell College,Auckland
Wharepapa South School,Te Awamutu
Whatawhata School,Hamilton
Whenuakite School,Whitianga
Whitikahu School,Taupiri
Whitiora School,Hamilton
Woodlands School (Opotiki),Opotiki
Woodstock School,Hamilton
Marian Catholic School (Hamilton),Hamilton
Kaponga School,Kaponga
Crawshaw School,Hamilton
Manaia School (Taranaki),Manaia
Matapu School,Hawera
Trentham School,Upper Hutt
Koraunui School,Lower Hutt
Tautoro School,Kaikohe
Maromaku School,Kawakawa
Moerewa School,Moerewa
TKKM o Taumarere,Moerewa
Awahono School - Grey Valley,Ahaura
Paparoa Range School,Dobson
Geraldine Primary School,Geraldine
Winchester Rural School,Winchester
Temuka Primary School,Temuka
Oceanview Heights School,Timaru
Grantlea Downs School,Timaru
Barton Rural School,Timaru
Bluestone School,Timaru
Beaconsfield School,Timaru
Timaru South School,Timaru
New River Primary,Invercargill
Fernworth Primary School,Invercargill
Newfield Park School,Invercargill
Donovan Primary School,Invercargill
Bluff School,Bluff
Lake Brunner School,Moana
Jean Seabrook Memorial School,Christchurch
Ahititi School,Urenui
Auroa School,Hawera
Avon School,Stratford
Bell Block School,New Plymouth
Central School,New Plymouth
Devon Intermediate,New Plymouth
Egmont Village School,Inglewood
Eltham School,Eltham
Fitzroy School,New Plymouth
Frankley School,New Plymouth
Hawera Intermediate,Hawera
Hawera Primary School,Hawera
Highlands Intermediate,New Plymouth
Huiakama School,Stratford
Huirangi School,Huirangi
Inglewood School,Inglewood
Kaimata School,Inglewood
Lepperton School,New Plymouth
Makahu School,Stratford
Mangorei School,New Plymouth
Manukorihi Intermediate,Waitara
Marco School,Stratford
Marfell School,New Plymouth
Matiere School,Matiere
Merrilands School,New Plymouth
Midhirst School,Stratford
Mimi School,Urenui
Mokau School,Mokau
Mokoia School,Hawera
Moturoa School,New Plymouth
Ngaere School,Stratford
Norfolk School,Inglewood
Normanby School,Normanby
Oakura School,New Plymouth
Omata School,New Plymouth
Ongarue School,Ongarue
Opunake School,Opunake
Pembroke School,Stratford
Puketapu School (New Plymouth),New Plymouth
Ramanui School,Hawera
Ratapiko School,Ratapiko
Rawhitiroa School,Eltham
Spotswood Primary School,New Plymouth
St John Bosco School (New Plymouth),New Plymouth
St Joseph's School (Hawera),Hawera
St Joseph's School (New Plymouth),New Plymouth
St Joseph's School (Opunake),Opunake
St Joseph's School (Stratford),Stratford
St Joseph's School (Waitara),Waitara
St Patrick's School (Kaponga),Kaponga
St Patrick's School (Inglewood),Inglewood
St Pius X School (New Plymouth),New Plymouth
Stratford School,Stratford
Tawhiti School,Hawera
Tikorangi School,Waitara
Tokirima School,Taumarunui
Toko School,Stratford
Turuturu School,Hawera
Urenui School,New Plymouth
Uruti School,New Plymouth
Vogeltown School,New Plymouth
Waitara Central School,Waitara
Waitara East School,Waitara
Waitoriki School,Inglewood
Welbourn School,New Plymouth
West End Te Kura O Morere,New Plymouth
Westown School,New Plymouth
Whareorino School,North Taranaki
Woodleigh School,New Plymouth
Aberfeldy School,Whanganui
Aokautere School,Palmerston North
Apiti School,Apiti
Arahunga School,Whanganui
Aranui School (Wanganui),Whanganui
Ashhurst School,Ashhurst
Awahou School,Ashhurst
Awapuni School (P.North),Palmerston North
Bainesse School,Palmerston North
Brunswick School,Whanganui
Bulls School,Bulls
Bunnythorpe School,Bunnythorpe
Carlton School,Whanganui
Castlecliff School,Whanganui
Churton School,Whanganui
Clifton School (Bulls),Bulls
Cloverlea School,Palmerston North
TKKM o Otepoti,Dunedin
Coley Street School,Foxton
College Street Normal School,Palmerston North
Colyton School,Feilding
Durie Hill School,Whanganui
Feilding Intermediate,Feilding
Fordell School,Fordell
Foxton Beach School,Foxton Beach
Foxton School,Foxton
Glen Oroua School,Palmerston North
Gonville School,Whanganui
Halcombe Primary School,Feilding
Somerset Crescent School,Palmerston North
Hiwinui School,Palmerston North
Hokowhitu School,Palmerston North
Hunterville Consolidated School,Hunterville
James Cook School,Marton
Kai Iwi School,Whanganui
Kairanga School,Palmerston North
Kaitieke School,Owhango
Kaitoke School (Wanganui),Whanganui
Kakaramea School,Patea
Kakatahi School,Kakatahi
TKKM o Tupoho,Whanganui
Keith Street School,Whanganui
Kimbolton School,Kimbolton
Kiwitea School,Feilding
TKKM o Ngati Ruanui,Hawera
Te Kura o Kokohuia,Whanganui
Kopane School,Palmerston North
Linton Camp School,Linton Camp
Linton Country School,Palmerston North
Longburn School,Palmerston North
Lytton Street School,Feilding
Manchester Street School,Feilding
Mangamahu Primary School,Mangamahu
Mangaweka School,Mangaweka
Manunui School,Taumarunui
St Marcellin School (Wanganui),Whanganui
Marton Junction School,Marton
Marton School,Marton
Mataroa School,Taihape
Milson School,Palmerston North
Moawhango School,Moawhango
Monrad Intermediate,Palmerston North
Mosston School,Whanganui
Mount Biggs School,Feilding
National Park School,National Park
Newbury School,Palmerston North
Ngamatapouri School,Waitotara
North Street School,Feilding
Ohakune School,Ohakune
Okoia School,Whanganui
Orautoha School,Raetihi
Oroua Downs School,Foxton
Our Lady of Lourdes School (P North),Palmerston North
Owhango School,Owhango
Central Normal School,Palmerston North
Palmerston North Intermediate,Palmerston North
Papanui Junction School,Taihape
Parkland School (P North),Palmerston North
Pukeokahu School,Pukeokahu
Raetihi Primary School,Raetihi
Te Kura o Ratana,Ratana
Riverdale School (P North),Palmerston North
Rongotea School,Rongotea
Roslyn School,Palmerston North
Ross Intermediate,Palmerston North
Russell Street School,Palmerston North
Rutherford Junior High School,Whanganui
Sanson School,Sanson
TKKM o Ngati Kahungunu Ki Heretaunga,Hastings
South Makirikiri School,Marton
St Anne's School (Wanganui),Whanganui
St James School (P North),Palmerston North
St John's Hill School,Whanganui
St Joseph's School (Feilding),Feilding
St Joseph's School (Patea),Patea
St Joseph's School (Taihape),Taihape
St Mary's School (Wanganui),Whanganui
St Mary's School (Foxton),Foxton
St Matthew's School (Marton),Marton
St Mary's School (P North),Palmerston North
Takaro School,Palmerston North
Tangimoana School,Tangimoana
Taonui School,Feilding
Taoroa School,Taihape
Tawhero School,Whanganui
Terrace End School,Palmerston North
Tiritea School,Tiritea
Turakina School,Turakina
Upokongaro School,Whanganui
Waiouru School,Waiouru
Waitotara School,Waitotara
Waituna West School,Feilding
Whanganui East School,Whanganui
Whanganui Intermediate,Whanganui
Waverley Primary School,Waverley
West End School (P North),Palmerston North
Westmere School (Wanganui),Whanganui
Whakarongo School,Palmerston North
Whangaehu School,Whangaehu-Whanganui
Whenuakura School,Patea
Winchester School (P North),Palmerston North
Argyll East School,Otane
Arthur Miller School,Napier
Awapuni School (Gisborne),Gisborne
Bledisloe School,Napier
Bridge Pa School,Bridge Pa
Camberley School,Hastings
Clive School,Clive
Cobham School,Gisborne
Dannevirke South School,Dannevirke
Ebbett Park School,Hastings
Elgin School,Gisborne
Elsthorpe School,Elsthorpe
Eskdale School,Napier
Fairhaven School (Napier),Napier
Flaxmere Primary School,Hastings
Flemington School (Waipukurau),Waipukurau
Frasertown School,Wairoa
Frimley School,Hastings
Gisborne Central School,Gisborne
Gisborne Intermediate,Gisborne
Greenmeadows School,Napier
Hastings Central School,Hastings
Hastings Intermediate,Hastings
Haumoana School,Hastings
Havelock North Intermediate,Havelock North
Havelock North Primary School,Havelock North
Henry Hill School,Napier
Heretaunga Intermediate,Hastings
Hiruharama School,Ruatoria
Ilminster Intermediate,Gisborne
Irongate School,Hastings
Kaiti School,Gisborne
Kereru School,Hastings
Kotemaori School,Kotemaori
Kowhai School,Hastings
Lucknow School,Havelock North
Mahora School,Hastings
Makaraka School,Gisborne
Makarika School,Ruatoria
Makauri School,Gisborne
Mangapapa School,Gisborne
Mangateretere School,Whakatu
TKKM o Mangatuna,Gisborne
Manutuke School,Manutuke
Maraenui Bilingual School (Napier),Napier
Marewa School,Napier
Mata School,Tokomaru Bay
Matawai School,Matawai
Mayfair School,Hastings
Meeanee School,Napier
Motu School,Motu
Muriwai School,Gisborne
Napier Central School,Napier
Napier Intermediate,Napier
Nelson Park School,Napier
Ngatapa School,Gisborne
Norsewood and Districts School,Norsewood
Nuhaka School,Nuhaka
Ohuka School,Wairoa
Omahu School,Hastings
Omakere School,Waipawa
Onekawa School,Napier
Ongaonga School,Ongaonga
Ormond School,Gisborne
Otane School,Otane
Te Kura o Pakipaki,Pakipaki
Pakowhai School,Napier
Papatawa School,Woodville
Parkvale School,Hastings
Patoka School,Napier
Patutahi School,Gisborne
Peterhead School,Hastings
Porritt School,Napier
Port Ahuriri School,Napier
Potaka School,Hicks Bay
Poukawa School,Hastings
Pukehamoamoa School,Hastings
Pukehou School,Pukehou
Puketapu School (Hawkes Bay),Napier
Putere School,Wairoa
Putorino School,Putorino
TKKM o Tapere-Nui-A-Whatonga,Gisborne
Raureka School,Hastings
Reignier Catholic School,Napier
Rere School,Gisborne
Richmond School (Napier),Napier
Riverdale School (Gisborne),Gisborne
Riverslea School,Hastings
Ruahine School,Dannevirke
Sherenden and Districts School,Hastings
Sherwood School (Hawkes Bay),Takapau
St Joseph's School (Dannevirke),Dannevirke
St Joseph's School (Hastings),Hastings
St Joseph's School (Waipukurau),Waipukurau
St Joseph's School (Wairoa),Wairoa
St Mary's Catholic School (Gisborne),Gisborne
St Mary's School (Hastings),Hastings
Takapau School,Takapau
Tamatea Intermediate,Napier
Tamatea School,Napier
Taradale Intermediate,Napier
Taradale School,Napier
Te Awa School,Napier
Te Hapara School,Gisborne
Te Mata School (Havelock North),Havelock North
Te Pohue School,Te Pohue
Te Wharau School (Gisborne),Gisborne
The Terrace School (Waipukurau),Waipukurau
Tikitiki School,Gisborne
Tikokino School,Tikokino
Tiniroto School,Gisborne
Hatea-A-Rangi,Tokomaru Bay
Tutira School,Tutira
Twyford School,Hastings
Waerenga-O-Kuri School,Gisborne
Waikirikiri School,Gisborne
Waimarama School,Havelock North
Wainui Beach School,Wainui-Gisborne
Waipawa School,Waipawa
Waipukurau School,Waipukurau
Weber School,Dannevirke
Westshore School,Napier
Whangara School,Gisborne
Te Kura Kaupapa Maori o Whatatutu,Gisborne
Woodville School,Woodville
St Patrick's School (Napier),Napier
Kimi Ora Community School,Hastings
Hawke's Bay School for Teenage Parents,Napier
Karanga Mai Young Parents College,Kaiapoi
Te Whare Whai Hua Teenage Parent Centre,Gisborne
Wairarapa Teen Parent Unit,Masterton
Te Whakatipuranga (Otumoetai TPU),Windermere
He Huarahi Tamariki,Wellington
Rotorua School for Young Parents,Rotorua
Stratford High School Teen Parent Unit,Stratford
Titiro Whakamua,Upper Hutt
Whakatipuria Teen Parent Unit,Palmerston North
He Mataariki School for Teen Parents,Whangarei
Kawerau Teen Parent Unit,Kawerau
Fraser High School TPU,Hamilton
Eden Campus,Auckland
Kimihia Parents' College,Christchurch
Clendon Teen Parent Unit,Auckland
Alfredton School,Eketahuna
Arakura School,Lower Hutt
Avalon School,Lower Hutt
Ballance School,Pahiatua
Bellevue School (Newlands),Wellington
Belmont School (Lower Hutt),Lower Hutt
Berhampore School,Wellington
Birchville School,Upper Hutt
Blenheim School,Blenheim
Bohally Intermediate,Blenheim
Boulcott School,Lower Hutt
Brandon Intermediate,Porirua
Brooklyn School (Wellington),Wellington
Cannons Creek School,Porirua
Cardinal McKeefry School (Wilton),Wellington
Carterton School,Carterton
Cashmere Avenue School,Wellington
Crofton Downs Primary School,Wellington
Churton Park School,Wellington
Clifton Terrace Model School,Wellington
Clyde Quay School,Wellington
Corinna School,Porirua
Dalefield School,Carterton
Discovery School,Porirua
Dyer Street School,Lower Hutt
Eastern Hutt School,Lower Hutt
Eketahuna School,Eketahuna
Epuni School,Lower Hutt
Evans Bay Intermediate,Wellington
Fairfield School (Levin),Levin
Fairhall School,Blenheim
Featherston School,Featherston
Fergusson Intermediate (Trentham),Upper Hutt
Fernlea School,Lower Hutt
Fernridge School,Masterton
Fraser Crescent School,Upper Hutt
Gladstone School (Masterton),Gladstone
Pukeatua Primary School (Wainuiomata),Lower Hutt
Glenview School (Porirua East),Porirua
Gracefield School,Lower Hutt
Greenacres School,Wellington
Greytown School,Greytown
Grovetown School,Blenheim
Hampton Hill School,Wellington
Hataitai School,Wellington
Havelock School,Havelock
Hillcrest School (Pahiatua),Pahiatua
Holy Family School (Porirua),Porirua
Houghton Valley School,Wellington
Hutt Central School,Lower Hutt
Hutt Intermediate,Lower Hutt
Island Bay School,Wellington
Johnsonville School,Wellington
West Park School,Wellington
Kahutara School,Featherston
Kapanui School,Waikanae
Mahinawa Specialist School and Resource Centre,Porirua
Kapiti School,Paraparaumu
Karori Normal School,Wellington
Karori West Normal School,Wellington
Kelburn Normal School,Wellington
Kelson School,Lower Hutt
Kenakena School,Paraparaumu Beach
Khandallah School,Wellington
Kilbirnie School,Wellington
Koputaroa School,Levin
Korokoro School,Lower Hutt
Levin East School,Levin
Levin Intermediate,Levin
Levin North School,Levin
Levin School,Levin
Linden School,Wellington
Linkwater School,Linkwater
Lyall Bay School,Wellington
Maidstone Intermediate,Upper Hutt
Makara Model School,Wellington
Makuri School,Makuri
Manakau School,Levin
Mangaroa School,Upper Hutt
